freq,temp,util,power
1200000.00,75696.62,48.35,4.77
1200000.00,75471.52,47.97,4.77
1200000.00,75297.95,47.68,4.77
1200000.00,75254.25,47.48,4.77
1200000.00,75461.87,47.18,4.67
1200000.00,75627.68,46.95,4.67
1200000.00,75721.69,46.68,4.67
1200000.00,75530.31,46.05,4.67
1200000.00,75328.16,45.38,4.54
1200000.00,75238.40,45.09,4.54
1200000.00,75411.68,45.66,4.54
1200000.00,75560.55,46.15,4.54
1200000.00,75750.00,46.78,4.70
1200000.00,75750.00,47.05,4.70
1200000.00,75750.00,47.31,4.70
1200000.00,75750.00,47.56,4.70
1200000.00,75668.49,47.74,4.53
1200000.00,75425.84,48.11,4.53
1200000.00,75264.24,48.36,4.53
1200000.00,75212.00,48.19,4.53
1200000.00,75212.00,47.01,4.40
1200000.00,75212.00,46.30,4.40
1200000.00,75212.00,46.07,4.40
1200000.00,75212.00,46.99,4.40
1200000.00,75212.00,48.03,4.44
1200000.00,75212.00,48.32,4.44
1200000.00,75212.00,47.33,4.44
1200000.00,75212.00,46.53,4.44
1200000.00,75212.00,45.96,4.55
1200000.00,75212.00,46.96,4.55
1200000.00,75212.00,47.73,4.55
1200000.00,75224.63,48.33,4.55
1200000.00,75420.50,47.42,4.54
1200000.00,75574.02,46.71,4.54
1200000.00,75727.24,46.01,4.54
1200000.00,75686.29,46.00,4.54
1200000.00,75427.56,46.42,4.54
1200000.00,75279.72,46.66,4.54
1200000.00,75212.00,46.70,4.54
1200000.00,75212.00,46.35,4.54
1200000.00,75212.00,45.95,4.66
1200000.00,75212.00,46.21,4.66
1200000.00,75212.00,46.99,4.66
1200000.00,75212.00,47.50,4.66
1200000.00,75212.00,47.31,4.73
1200000.00,75212.00,46.59,4.73
1200000.00,75212.00,46.10,4.73
1200000.00,75212.00,46.06,4.73
1200000.00,75212.00,46.77,4.66
1200000.00,75212.00,47.28,4.66
1200000.00,75212.00,47.57,4.66
1200000.00,75212.00,47.25,4.66
1200000.00,75212.00,46.87,4.55
1200000.00,75212.00,46.71,4.55
1200000.00,75212.00,47.03,4.55
1200000.00,75212.00,47.31,4.55
1200000.00,75212.00,47.56,4.73
1200000.00,75212.00,47.26,4.73
1200000.00,75212.00,47.01,4.73
1200000.00,75212.00,46.78,4.73
1200000.00,75212.00,46.92,4.72
1200000.00,75212.00,47.33,4.72
1200000.00,75212.00,47.60,4.72
1200000.00,75212.00,47.37,4.72
1200000.00,75212.00,46.42,4.57
1200000.00,75212.00,45.89,4.57
1200000.00,75212.00,45.68,4.57
1200000.00,75212.00,45.37,4.57
1200000.00,75212.00,45.06,4.66
1200000.00,75212.00,45.20,4.66
1200000.00,75212.00,45.91,4.66
1200000.00,75212.00,46.61,4.66
1200000.00,75268.57,46.85,4.74
1200000.00,75486.18,47.16,4.74
1200000.00,75647.34,47.39,4.74
1200000.00,75719.78,47.55,4.74
1200000.00,75484.18,47.58,4.66
1200000.00,75324.50,47.60,4.66
1200000.00,75212.00,47.52,4.66
1200000.00,75212.00,46.74,4.66
1200000.00,75212.00,45.84,4.56
1200000.00,75212.00,45.17,4.56
1200000.00,75212.00,45.43,4.56
1200000.00,75212.00,47.01,4.56
1200000.00,75212.00,48.44,4.80
1200000.00,75212.00,48.41,4.80
1200000.00,75212.00,48.38,4.80
1200000.00,75212.00,48.35,4.80
1200000.00,75212.00,48.32,4.79
1200000.00,75212.00,48.29,4.79
1200000.00,75212.00,48.26,4.79
1200000.00,75212.00,48.23,4.79
1200000.00,75212.00,48.20,4.65
1200000.00,75212.00,48.17,4.65
1200000.00,75212.00,48.14,4.65
1200000.00,75212.00,48.12,4.65
1200000.00,75212.00,48.08,4.72
1200000.00,75212.00,48.05,4.72
1200000.00,75212.00,48.03,4.72
1200000.00,75212.00,48.00,4.72
1200000.00,75212.00,47.94,4.79
1200000.00,75212.00,47.92,4.79
1200000.00,75212.00,47.89,4.79
1200000.00,75212.00,47.86,4.79
1200000.00,75212.00,47.83,4.73
1200000.00,75212.00,47.81,4.73
1200000.00,75212.00,47.78,4.73
1200000.00,75212.00,47.75,4.73
1200000.00,75212.00,47.73,4.60
1200000.00,75212.00,47.70,4.60
1200000.00,75212.00,47.67,4.60
1200000.00,75212.00,47.65,4.60
1200000.00,75212.00,47.61,4.62
1200000.00,75212.00,47.58,4.62
1200000.00,75212.00,47.55,4.62
1200000.00,75367.02,47.11,4.62
1200000.00,75481.00,47.18,4.73
1200000.00,75692.37,48.18,4.73
1200000.00,75386.99,47.77,4.73
1200000.00,75216.56,47.06,4.73
1200000.00,75389.45,46.93,4.57
1200000.00,75547.79,46.81,4.57
1200000.00,75706.60,46.70,4.57
1200000.00,75693.55,46.68,4.57
1200000.00,75429.54,46.73,4.40
1200000.00,75275.90,46.76,4.40
1200000.00,75259.08,46.63,4.40
1200000.00,75467.18,46.01,4.40
1200000.00,75680.50,45.37,4.45
1200000.00,75704.29,45.15,4.45
1200000.00,75409.68,45.06,4.45
1200000.00,75238.24,45.01,4.45
1200000.00,75212.00,45.32,4.55
1200000.00,75212.00,46.46,4.55
1200000.00,75212.00,47.25,4.55
1200000.00,75254.13,47.68,4.55
1200000.00,75459.08,47.99,4.51
1200000.00,75621.76,48.24,4.51
1200000.00,75750.00,48.36,4.51
1200000.00,75750.00,47.56,4.51
1200000.00,75750.00,46.62,4.35
1200000.00,75747.35,45.91,4.35
1200000.00,75585.39,46.66,4.35
1200000.00,75425.97,47.40,4.35
1200000.00,75218.31,48.36,4.52
