time_stamp,volt,curr,pf,mul
1559529825407,121.3,0.05341,0.534,3.459590022
1559529825453,121.3,0.05341,0.534,3.459590022
1559529825514,121.3,0.05341,0.534,3.459590022
1559529825569,121.3,0.05341,0.534,3.459590022
1559529825615,121.3,0.05392,0.535,3.49916536
1559529825661,121.3,0.05392,0.535,3.49916536
1559529825707,121.3,0.05392,0.535,3.49916536
1559529825753,121.3,0.05392,0.535,3.49916536
1559529825806,121.3,0.05316,0.537,3.462741396
1559529825852,121.3,0.05316,0.537,3.462741396
1559529825898,121.3,0.05316,0.537,3.462741396
1559529825944,121.3,0.05316,0.537,3.462741396
1559529826007,121.4,0.05539,0.544,3.658044224
1559529826053,121.4,0.05539,0.544,3.658044224
1559529826112,121.4,0.05539,0.544,3.658044224
1559529826160,121.4,0.05539,0.544,3.658044224
1559529826207,121.4,0.05288,0.537,3.447342384
1559529826253,121.4,0.05288,0.537,3.447342384
1559529826299,121.4,0.05288,0.537,3.447342384
1559529826345,121.4,0.05288,0.537,3.447342384
1559529826407,121.4,0.05295,0.536,3.44547768
1559529826452,121.4,0.05295,0.536,3.44547768
1559529826499,121.4,0.05295,0.536,3.44547768
1559529826545,121.4,0.05295,0.536,3.44547768
1559529826607,121.3,0.05326,0.533,3.443413454
1559529826653,121.3,0.05326,0.533,3.443413454
1559529826722,121.3,0.05326,0.533,3.443413454
1559529826769,121.3,0.05326,0.533,3.443413454
1559529826815,121.4,0.05307,0.536,3.453286128
1559529826861,121.4,0.05307,0.536,3.453286128
1559529826907,121.4,0.05307,0.536,3.453286128
1559529826952,121.4,0.05307,0.536,3.453286128
1559529827007,121.4,0.05279,0.538,3.447883828
1559529827053,121.4,0.05279,0.538,3.447883828
1559529827099,121.4,0.05279,0.538,3.447883828
1559529827145,121.4,0.05279,0.538,3.447883828
1559529827206,121.4,0.05266,0.539,3.445786036
1559529827252,121.4,0.05266,0.539,3.445786036
1559529827297,121.4,0.05266,0.539,3.445786036
1559529827343,121.4,0.05266,0.539,3.445786036
1559529827406,121.4,0.05281,0.539,3.455601226
1559529827452,121.4,0.05281,0.539,3.455601226
1559529827498,121.4,0.05281,0.539,3.455601226
1559529827544,121.4,0.05281,0.539,3.455601226
1559529827607,121.3,0.05288,0.537,3.444502728
1559529827653,121.3,0.05288,0.537,3.444502728
1559529827699,121.3,0.05288,0.537,3.444502728
1559529827745,121.3,0.05288,0.537,3.444502728
1559529827806,121.3,0.05269,0.54,3.45130038
1559529827852,121.3,0.05269,0.54,3.45130038
1559529827899,121.3,0.05269,0.54,3.45130038
1559529827945,121.3,0.05269,0.54,3.45130038
1559529828006,121.4,0.05273,0.54,3.45676788
1559529828052,121.4,0.05273,0.54,3.45676788
1559529828098,121.4,0.05273,0.54,3.45676788
1559529828144,121.4,0.05273,0.54,3.45676788
1559529828206,121.4,0.0525,0.541,3.4480635
1559529828251,121.4,0.0525,0.541,3.4480635
1559529828297,121.4,0.0525,0.541,3.4480635
1559529828343,121.4,0.0525,0.541,3.4480635
1559529828406,121.3,0.05252,0.541,3.446535716
1559529828452,121.3,0.05252,0.541,3.446535716
1559529828500,121.3,0.05252,0.541,3.446535716
1559529828546,121.3,0.05252,0.541,3.446535716
1559529828606,121.3,0.05253,0.541,3.447191949
1559529828652,121.3,0.05253,0.541,3.447191949
1559529828699,121.3,0.05253,0.541,3.447191949
1559529828745,121.3,0.05253,0.541,3.447191949
1559529828806,121.3,0.05264,0.542,3.460795744
1559529828852,121.3,0.05264,0.542,3.460795744
1559529828898,121.3,0.05264,0.542,3.460795744
1559529828944,121.3,0.05264,0.542,3.460795744
1559529829006,121.4,0.05241,0.542,3.448515108
1559529829052,121.4,0.05241,0.542,3.448515108
1559529829098,121.4,0.05241,0.542,3.448515108
1559529829153,121.4,0.05241,0.542,3.448515108
1559529829210,121.4,0.0523,0.543,3.44762646
1559529829256,121.4,0.0523,0.543,3.44762646
1559529829302,121.4,0.0523,0.543,3.44762646
1559529829348,121.4,0.0523,0.543,3.44762646
1559529829406,121.4,0.05236,0.542,3.445225168
1559529829452,121.4,0.05236,0.542,3.445225168
1559529829498,121.4,0.05236,0.542,3.445225168
1559529829543,121.4,0.05236,0.542,3.445225168
1559529829606,121.3,0.05302,0.537,3.453622062
1559529829652,121.3,0.05302,0.537,3.453622062
1559529829698,121.3,0.05302,0.537,3.453622062
1559529829752,121.3,0.05302,0.537,3.453622062
1559529829806,121.4,0.05319,0.534,3.448180044
1559529829852,121.4,0.05319,0.534,3.448180044
1559529829898,121.4,0.05319,0.534,3.448180044
1559529829944,121.4,0.05319,0.534,3.448180044
1559529830007,121.4,0.05316,0.535,3.45268884
1559529830053,121.4,0.05316,0.535,3.45268884
1559529830099,121.4,0.05316,0.535,3.45268884
1559529830145,121.4,0.05316,0.535,3.45268884
1559529830207,121.4,0.05288,0.536,3.440922752
1559529830253,121.4,0.05288,0.536,3.440922752
1559529830299,121.4,0.05288,0.536,3.440922752
1559529830365,121.4,0.05288,0.536,3.440922752
1559529830412,121.4,0.05301,0.537,3.455817318
1559529830458,121.4,0.05301,0.537,3.455817318
1559529830504,121.4,0.05301,0.537,3.455817318
1559529830550,121.4,0.05301,0.537,3.455817318
1559529830607,121.3,0.05289,0.537,3.445154109
1559529830652,121.3,0.05289,0.537,3.445154109
1559529830698,121.3,0.05289,0.537,3.445154109
1559529830743,121.3,0.05289,0.537,3.445154109
1559529830806,121.3,0.05345,0.533,3.455697505
1559529830852,121.3,0.05345,0.533,3.455697505
1559529830897,121.3,0.05345,0.533,3.455697505
1559529830943,121.3,0.05345,0.533,3.455697505
1559529831016,121.4,0.05305,0.536,3.45198472
1559529831062,121.4,0.05305,0.536,3.45198472
1559529831108,121.4,0.05305,0.536,3.45198472
1559529831154,121.4,0.05305,0.536,3.45198472
1559529831207,121.4,0.05292,0.536,3.443525568
1559529831253,121.4,0.05292,0.536,3.443525568
1559529831299,121.4,0.05292,0.536,3.443525568
1559529831346,121.4,0.05292,0.536,3.443525568
1559529831406,121.4,0.05316,0.534,3.446235216
1559529831452,121.4,0.05316,0.534,3.446235216
1559529831498,121.4,0.05316,0.534,3.446235216
1559529831544,121.4,0.05316,0.534,3.446235216
1559529831607,121.3,0.05335,0.534,3.45570357
1559529831653,121.3,0.05335,0.534,3.45570357
1559529831699,121.3,0.05335,0.534,3.45570357
1559529831745,121.3,0.05335,0.534,3.45570357
1559529831806,121.3,0.05334,0.534,3.455055828
1559529831852,121.3,0.05334,0.534,3.455055828
