cache-misses,instructions,power
12976.41,265992312.27,4.50
12495.85,266010240.71,4.50
11970.05,266029856.71,4.49
11526.18,266046416.11,4.49
11092.72,266062587.20,4.49
11333.59,266065912.66,4.49
12325.69,266076317.94,4.50
12859.06,266081911.96,4.50
13340.45,266086664.50,4.50
12695.33,266067595.55,4.50
11840.47,266042327.58,4.50
11210.99,266023720.99,4.50
10641.88,266007083.53,4.50
10807.90,266012821.29,4.50
10938.27,266017326.72,4.50
11069.68,266021868.25,4.50
11184.22,266026073.05,4.50
11311.33,266033254.22,4.50
11446.52,266040891.31,4.50
11562.18,266047425.79,4.50
11689.66,266054162.51,4.50
12131.90,266057849.26,4.50
12688.73,266062491.37,4.50
13118.64,266066075.32,4.50
13633.42,266075988.46,4.50
17307.38,266327699.24,4.50
24862.81,266845336.96,4.43
28537.94,267097127.89,4.43
28985.59,259247251.97,4.43
28069.58,231570834.31,4.43
27427.51,212171049.45,4.14
26781.57,192654409.00,4.14
25549.33,183079846.15,4.14
21029.88,183781633.99,4.14
17421.93,184341880.92,4.14
13817.38,184901601.87,4.14
10926.94,185371119.38,4.14
12894.93,185376430.70,4.14
15074.74,185382313.68,4.14
16901.40,185387243.55,4.14
18693.98,185392081.45,4.14
21321.01,243143814.53,4.14
26616.19,364062513.55,4.68
29383.63,427258827.80,4.68
30166.29,474840274.65,4.68
26755.26,550093998.57,4.68
23991.48,611067954.53,4.85
21284.90,670780076.27,4.85
18647.93,728734119.65,4.85
18242.87,728726101.18,4.85
17773.90,728716817.72,4.86
17381.94,728709058.58,4.86
16989.21,728701284.28,4.86
18373.74,728467734.56,4.86
23931.78,727544507.07,4.85
26871.12,727056264.74,4.85
30220.37,718003968.44,4.85
30139.48,646637483.92,4.85
30066.89,582591800.43,4.57
29996.31,520320846.58,4.57
29918.23,457997837.12,4.57
28952.35,421769114.85,4.57
27738.63,376244454.13,4.55
26786.46,340529906.47,4.55
25851.85,305474171.78,4.55
25192.37,302367169.82,4.55
22881.62,302219238.76,4.55
21624.55,302138762.59,4.55
20393.47,302059950.39,4.55
20375.13,302059754.90,4.55
20869.89,302095390.89,4.57
21161.62,302116403.66,4.57
21434.89,302136086.37,4.57
22015.71,302259263.00,4.57
24060.38,302699491.01,4.56
25220.74,302949322.04,4.56
26391.36,303201363.18,4.56
25397.25,303165494.42,4.56
21109.51,302935710.94,4.54
18717.18,302807503.63,4.54
16307.34,302678358.11,4.54
15596.67,302617710.64,4.54
13691.76,302426699.90,4.53
