cache-misses,instructions,power
22576.75,77045219.71,3.38
13865.76,76141826.66,3.35
17372.43,76346287.20,3.35
20294.81,76516679.89,3.35
23407.77,76698185.14,3.35
25562.00,76821955.36,3.37
22044.05,76604402.55,3.37
19045.11,76418945.39,3.37
16046.17,76233488.22,3.37
12997.92,76046647.21,3.35
12911.63,76052293.61,3.35
12836.83,76057187.92,3.35
12763.63,76061978.10,3.35
13245.68,76093261.38,3.35
17197.13,76283071.11,3.35
20594.90,76446284.45,3.35
23992.67,76609497.79,3.35
26978.64,76753446.43,3.35
23142.76,76572977.41,3.35
19829.24,76417083.96,3.35
16443.68,76257801.52,3.35
13011.69,76096275.62,3.35
12703.46,76081335.04,3.35
12430.61,76068109.32,3.35
12157.77,76054883.61,3.35
11880.77,76038918.15,3.34
12012.06,76025407.92,3.34
12126.57,76013623.54,3.34
12241.08,76001839.16,3.34
12443.94,75993848.90,3.35
13144.04,76033256.66,3.35
13763.20,76068108.52,3.35
14382.37,76102960.37,3.35
14997.83,76137051.77,3.35
14461.67,76102257.09,3.35
13969.15,76070294.89,3.35
13497.15,76039664.44,3.35
13041.20,76009738.21,3.35
13348.14,76026797.28,3.35
13630.90,76042512.87,3.35
13907.65,76057894.10,3.35
14686.06,76100047.97,3.35
19018.11,76330703.80,3.35
22793.03,76531696.26,3.35
26567.96,76732688.72,3.35
30264.80,76930685.85,3.36
26461.86,76739085.33,3.36
23065.12,76567949.97,3.36
19668.38,76396814.61,3.36
15890.61,76204558.95,3.35
16333.44,76205899.54,3.35
16735.64,76207117.18,3.35
17137.85,76208334.82,3.35
17593.23,76202925.92,3.35
17491.70,76132121.02,3.35
17399.96,76068133.20,3.35
17306.21,76002754.34,3.35
17187.94,75989165.02,3.35
17026.31,76615696.25,3.35
16876.50,77196456.68,3.35
16726.68,77777217.11,3.35
16502.70,78522791.14,3.35
15513.72,77912515.29,3.35
14552.03,77319084.31,3.35
13590.34,76725653.32,3.35
12340.27,75953538.06,3.35
12396.16,75955866.90,3.35
12450.78,75958142.67,3.35
12505.40,75960418.45,3.35
12579.22,75963485.39,3.35
12875.63,75974627.97,3.35
13169.82,75985687.15,3.35
13464.01,75996746.34,3.35
14036.45,75967458.62,3.35
27401.32,72643209.59,3.35
40875.43,69291790.14,3.35
54062.86,66011677.48,3.35
71263.85,61733269.66,3.34
64970.17,59559942.11,3.34
45778.71,53072592.73,3.34
32959.09,48739133.24,3.34
15680.46,42898383.49,3.26
15054.25,42786892.87,3.26
13966.86,42719646.71,3.26
13242.22,42674833.68,3.26
12265.53,42614433.52,3.26
12237.85,42614386.82,3.26
12173.09,42615479.41,3.26
12130.40,42616199.53,3.26
12073.80,42617154.48,3.27
12197.41,42617401.05,3.27
12575.39,42618109.13,3.27
12828.97,42618584.16,3.27
13165.24,42619214.09,3.26
13064.87,42619271.66,3.26
12713.75,42619376.13,3.26
12480.82,42619445.44,3.26
12171.94,42619537.34,3.27
12251.82,42618990.40,3.27
12525.38,42617297.71,3.27
12710.12,42616154.64,3.27
12955.10,42614638.81,3.27
15099.15,42717940.79,3.27
21812.55,43043606.73,3.27
26494.41,43270723.14,3.27
32670.48,43570323.52,3.28
30754.55,43487541.30,3.28
23925.03,43187990.13,3.28
19280.97,42984295.66,3.28
13021.58,42709750.95,3.27
12674.79,42692643.32,3.27
12642.55,42685242.84,3.27
12620.52,42680187.04,3.27
12590.84,42673372.72,3.26
21665.03,57097316.90,3.26
50545.03,102995738.09,3.26
70348.99,134469793.38,3.26
97041.29,176891346.16,3.45
90243.39,169925678.22,3.45
62296.29,137839627.14,3.45
42630.37,115261200.80,3.45
17106.53,85957285.75,3.36
15009.13,83524697.49,3.36
15077.75,83523692.38,3.36
15125.24,83522996.79,3.36
15188.22,83522074.38,3.35
15191.17,83521894.05,3.35
15178.62,83521628.87,3.35
15169.90,83521444.65,3.35
15158.34,83521200.36,3.35
16030.53,83589260.68,3.35
18968.99,83818303.22,3.35
21033.91,83979257.08,3.35
23817.07,84196194.90,3.35
23673.57,84146850.37,3.35
22050.17,83892961.91,3.35
20913.20,83715148.07,3.35
19405.49,83479351.47,3.36
18809.78,83449284.96,3.36
17464.53,83455866.28,3.36
16510.51,83460533.65,3.36
15203.91,83466925.90,3.35
15293.23,83484830.08,3.35
16149.61,83543161.69,3.35
16754.77,83584381.22,3.35
17557.26,83639041.90,3.35
17404.13,83659138.36,3.35
16436.15,83700319.39,3.35
15728.99,83730404.16,3.35
14811.19,83769450.34,3.35
15307.35,83794573.32,3.35
17591.50,83861282.63,3.35
19231.31,83909173.62,3.35
21441.49,83973722.36,3.35
21466.53,83953698.74,3.35
20255.20,83846382.59,3.35
19374.20,83768330.93,3.35
18167.60,83661434.08,3.35
17933.95,83891766.04,3.35
17791.22,84773623.53,3.35
17688.56,85407996.99,3.35
17552.41,86249231.36,3.37
18343.86,86356811.08,3.37
21978.88,85735856.36,3.37
24722.41,85267191.91,3.37
28360.58,84645702.11,3.35
28307.62,84400250.17,3.35
23353.71,84165585.19,3.35
19566.18,83986171.05,3.35
14543.58,83748252.28,3.35
12947.54,83665369.14,3.35
12914.38,83631442.28,3.35
12888.69,83605148.28,3.35
12853.50,83569136.93,3.36
12957.82,83562830.22,3.36
13460.84,83582252.08,3.36
13849.05,83597240.72,3.36
14363.84,83617116.96,3.35
23534.98,83633870.72,3.35
64873.71,83680298.06,3.35
97213.45,83716618.69,3.35
140801.80,83765572.57,3.37
191503.64,84809012.49,3.37
359783.27,89621310.76,3.37
492156.26,93406785.53,3.37
673449.70,98591240.12,3.53
725071.60,99466112.73,3.53
