freq,util,power
1200000.00,99.90,6.52
1200000.00,99.46,6.52
1200000.00,99.13,6.52
1200000.00,98.79,6.52
1200000.00,95.71,6.14
1200000.00,85.87,6.14
1200000.00,78.95,6.14
1200000.00,73.56,6.14
1200000.00,72.03,5.45
1200000.00,70.99,5.45
1200000.00,69.94,5.45
1200000.00,69.81,5.45
1200000.00,69.67,5.36
1200000.00,69.59,5.36
1200000.00,69.58,5.36
1200000.00,69.63,5.36
1200000.00,69.67,5.47
1200000.00,69.72,5.47
1200000.00,69.83,5.47
1200000.00,69.94,5.47
1200000.00,70.07,5.60
1200000.00,70.63,5.60
1200000.00,74.72,5.60
1200000.00,78.31,5.60
1200000.00,83.19,6.21
1200000.00,88.34,6.21
1200000.00,88.73,6.21
1200000.00,89.07,6.21
1200000.00,89.43,6.17
1200000.00,89.55,6.17
1200000.00,89.80,6.17
1200000.00,89.98,6.17
1200000.00,90.16,6.21
1200000.00,90.59,6.21
1200000.00,92.74,6.21
1200000.00,94.58,6.21
1200000.00,97.09,6.54
1200000.00,98.79,6.54
1200000.00,99.06,6.54
1200000.00,99.32,6.54
1200000.00,99.66,6.56
1200000.00,99.93,6.56
1200000.00,100.00,6.56
1200000.00,100.00,6.56
1200000.00,100.00,6.57
1200000.00,100.00,6.57
1200000.00,100.00,6.57
1200000.00,100.00,6.57
1200000.00,100.00,6.56
1200000.00,100.00,6.56
1200000.00,98.86,6.56
1200000.00,94.40,6.56
1200000.00,89.88,6.02
1200000.00,86.45,6.02
1200000.00,84.45,6.02
1200000.00,83.61,6.02
1200000.00,82.76,5.78
1200000.00,82.02,5.78
1200000.00,79.35,5.78
1200000.00,76.79,5.78
1200000.00,73.46,5.38
1200000.00,72.75,5.38
1200000.00,71.49,5.38
1200000.00,70.61,5.38
1200000.00,69.92,5.32
1200000.00,70.32,5.32
1200000.00,70.64,5.32
1200000.00,71.20,5.32
1200000.00,71.03,5.38
1200000.00,70.50,5.38
1200000.00,70.15,5.38
1200000.00,71.09,5.38
1200000.00,73.92,5.37
1200000.00,75.81,5.37
1200000.00,77.71,5.37
1200000.00,82.35,5.37
1200000.00,86.91,6.01
1200000.00,90.66,6.01
1200000.00,92.13,6.01
1200000.00,91.88,6.01
