freq,util,power
600000.00,56.03,3.80
600000.00,56.03,3.80
600000.00,56.39,3.80
600000.00,56.84,3.81
600000.00,57.18,3.81
600000.00,57.49,3.81
600000.00,57.12,3.81
600000.00,56.63,3.79
600000.00,56.26,3.79
600000.00,56.01,3.79
600000.00,56.05,3.79
600000.00,56.10,3.79
600000.00,56.14,3.79
600000.00,56.10,3.79
600000.00,55.73,3.79
600000.00,55.32,3.79
600000.00,55.03,3.79
600000.00,55.08,3.79
600000.00,55.67,3.79
600000.00,56.27,3.80
600000.00,56.70,3.80
600000.00,56.70,3.80
600000.00,56.53,3.80
600000.00,56.36,3.80
600000.00,56.26,3.80
600000.00,56.51,3.80
600000.00,56.76,3.80
600000.00,57.09,3.80
600000.00,57.33,3.80
600000.00,57.26,3.80
600000.00,57.05,3.80
600000.00,56.86,3.80
600000.00,56.76,3.80
600000.00,56.76,3.80
600000.00,56.76,3.80
600000.00,56.76,3.81
600000.00,56.76,3.81
600000.00,56.76,3.81
600000.00,56.76,3.81
600000.00,56.76,3.81
600000.00,56.76,3.81
600000.00,56.76,3.81
600000.00,56.76,3.81
600000.00,56.76,3.80
600000.00,57.01,3.80
